publish_date,China,Italy,California,Wuhan,New York,USA,China_all
2006-09-07,1,0,0,0,0,0,1
2006-09-08,1,0,0,0,0,0,1
2006-09-30,0,0,0,0,2,2,0
2006-10-01,1,0,0,0,0,0,1
2006-10-17,0,1,0,0,0,0,0
2006-10-30,1,0,0,0,0,0,1
2006-11-14,1,0,0,0,0,0,1
2006-11-21,0,1,0,0,1,1,0
2006-11-30,3,0,0,0,0,0,3
2006-12-31,1,0,0,0,0,0,1
2007,26,2,6,0,4,10,26
2007-01-10,0,1,0,0,0,0,0
2007-01-19,1,0,0,0,0,0,1
2007-01-29,1,0,0,0,0,0,1
2007-01-31,1,0,0,0,0,0,1
2007-02-20,0,1,0,0,0,0,0
2007-02-22,1,0,0,0,0,0,1
2007-02-28,1,0,0,0,0,0,1
2007-03-02,1,0,0,0,0,0,1
2007-03-12,1,0,0,0,0,0,1
2007-03-15,0,0,0,0,1,1,0
2007-03-27,1,0,0,0,0,0,1
2007-04-15,1,1,0,0,0,0,1
2007-04-17,1,0,0,0,0,0,1
2007-04-30,2,0,0,0,0,0,2
2007-05-28,1,0,0,0,0,0,1
2007-06-01,0,0,1,0,0,1,0
2007-06-07,1,0,0,0,0,0,1
2007-06-16,1,0,0,0,0,0,1
2007-06-21,1,1,0,0,0,0,1
2007-08-01,1,0,0,0,0,0,1
2007-08-31,1,0,0,0,0,0,1
2007-09-02,1,0,0,0,0,0,1
2007-09-20,1,0,0,0,0,0,1
2007-09-26,1,0,0,0,0,0,1
2007-09-28,0,0,1,0,0,1,0
2007-09-30,2,0,0,0,0,0,2
2007-10-05,1,0,0,0,0,0,1
2007-10-31,0,1,0,0,0,0,0
2007-11-12,1,0,1,0,0,1,1
2007-11-26,1,0,0,0,0,0,1
2007-12-31,2,0,0,0,0,0,2
2008,28,7,1,0,0,1,28
2008-01-01,0,1,0,0,0,0,0
2008-01-03,1,0,0,0,0,0,1
2008-01-07,2,0,0,0,0,0,2
2008-01-09,1,0,0,0,0,0,1
2008-01-10,1,0,0,0,0,0,1
2008-01-13,1,0,0,0,0,0,1
2008-01-24,1,0,0,0,0,0,1
2008-02-01,1,0,0,0,0,0,1
2008-02-14,1,0,0,0,0,0,1
2008-02-16,1,0,0,0,0,0,1
2008-02-21,1,0,0,0,0,0,1
2008-02-22,0,1,0,0,0,0,0
2008-03-09,1,0,0,0,0,0,1
2008-03-14,0,1,0,0,0,0,0
2008-03-17,0,1,0,0,0,0,0
2008-03-21,1,0,0,0,0,0,1
2008-04-01,1,0,0,0,0,0,1
2008-04-08,1,0,0,0,0,0,1
2008-04-25,1,1,0,0,0,0,1
2008-04-26,1,0,0,0,0,0,1
2008-04-30,3,0,0,0,0,0,3
2008-05-24,1,0,0,0,0,0,1
2008-05-31,2,0,0,0,0,0,2
2008-06-05,1,0,0,0,0,0,1
2008-06-19,1,0,0,0,0,0,1
2008-06-20,1,0,0,0,0,0,1
2008-06-28,0,1,0,0,0,0,0
2008-07-01,1,0,0,0,0,0,1
2008-07-03,0,1,0,0,0,0,0
2008-07-10,1,0,0,0,0,0,1
2008-07-15,1,0,0,0,0,0,1
2008-07-31,1,0,0,0,0,0,1
2008-08-21,1,0,0,0,0,0,1
2008-08-25,1,0,0,0,0,0,1
2008-09-03,1,0,0,0,0,0,1
2008-09-14,1,0,0,0,0,0,1
2008-09-20,1,0,0,0,0,0,1
2008-09-26,1,0,0,0,0,0,1
2008-09-30,1,0,0,0,0,0,1
2008-10-01,1,0,0,0,0,0,1
2008-10-08,2,0,0,0,0,0,2
2008-10-10,1,0,0,0,0,0,1
2008-10-22,1,0,0,0,0,0,1
2008-10-29,1,0,0,0,0,0,1
2008-10-30,2,0,0,0,0,0,2
2008-10-31,1,0,0,0,0,0,1
2008-11-07,1,0,0,0,0,0,1
2008-11-14,2,0,0,0,0,0,2
2008-12-01,1,0,0,0,0,0,1
2008-12-31,4,0,0,0,1,1,4
2009,21,2,4,0,1,5,21
2009-01-12,1,0,0,0,0,0,1
2009-01-20,0,0,0,0,1,1,0
2009-01-29,1,0,0,0,0,0,1
2009-01-31,2,0,0,0,0,0,2
2009-02-23,1,0,0,0,0,0,1
2009-03-05,1,0,0,0,0,0,1
2009-03-31,2,0,0,0,0,0,2
2009-04-14,1,0,0,0,0,0,1
2009-04-17,1,0,0,0,0,0,1
2009-05-01,1,0,0,0,0,0,1
2009-05-27,1,0,0,0,0,0,1
2009-05-28,2,0,0,0,0,0,2
2009-05-31,1,0,0,0,0,0,1
2009-06-05,5,0,0,0,0,0,5
2009-06-30,1,0,0,0,0,0,1
2009-07-25,1,0,0,0,0,0,1
2009-07-31,0,1,0,0,0,0,0
2009-08-31,2,0,0,0,0,0,2
2009-09-01,1,0,0,0,0,0,1
2009-09-15,1,0,0,0,0,0,1
2009-09-16,1,0,0,0,0,0,1
2009-09-22,1,0,0,0,0,0,1
2009-09-23,1,0,0,0,0,0,1
2009-09-27,1,0,0,0,0,0,1
2009-09-30,1,0,0,0,0,0,1
2009-10-01,0,0,1,0,0,1,0
2009-10-06,1,0,0,0,0,0,1
2009-10-07,1,0,0,0,0,0,1
2009-10-23,1,0,0,0,0,0,1
2009-11-06,1,0,0,0,0,0,1
2009-11-12,0,0,1,0,1,2,0
2009-11-19,0,0,1,0,0,1,0
2009-11-24,0,1,0,0,0,0,0
2009-11-30,1,1,0,0,0,0,1
2009-12-13,0,1,0,0,0,0,0
2009-12-15,0,0,1,0,0,1,0
2009-12-17,1,0,0,0,0,0,1
2009-12-22,1,0,0,0,0,0,1
2009-12-31,2,0,0,0,1,1,2
2010,16,4,6,1,5,11,17
2010-01-01,1,0,0,0,0,0,1
2010-01-15,2,0,0,0,0,0,2
2010-01-19,1,0,0,0,0,0,1
2010-02-01,1,0,0,0,0,0,1
2010-02-07,1,0,0,0,0,0,1
2010-02-23,0,1,0,0,0,0,0
2010-02-25,2,0,0,0,0,0,2
2010-02-27,1,0,0,0,0,0,1
2010-02-28,1,0,0,0,1,1,1
2010-03-03,1,0,0,0,0,0,1
2010-03-05,1,0,0,0,0,0,1
2010-03-11,0,1,0,0,0,0,0
2010-03-31,0,0,1,0,0,1,0
2010-04-08,0,0,0,0,1,1,0
2010-04-23,1,0,0,0,0,0,1
2010-04-27,1,0,0,0,0,0,1
2010-04-30,1,0,0,0,0,0,1
2010-05-12,1,0,0,0,0,0,1
2010-05-20,1,0,0,0,0,0,1
2010-05-21,0,1,0,0,0,0,0
2010-05-22,1,0,0,0,0,0,1
2010-05-31,1,0,0,0,1,1,1
2010-06-13,1,0,0,0,0,0,1
2010-06-17,2,0,0,0,0,0,2
2010-06-25,1,0,0,0,0,0,1
2010-06-30,2,0,0,0,2,2,2
2010-07-14,1,0,0,0,0,0,1
2010-07-23,1,0,0,0,0,0,1
2010-07-31,3,0,0,0,0,0,3
2010-08-01,1,0,0,0,0,0,1
2010-08-03,1,0,0,0,0,0,1
2010-08-06,1,0,0,0,0,0,1
2010-08-10,1,0,0,0,0,0,1
2010-08-15,1,0,0,0,0,0,1
2010-08-21,1,0,0,0,0,0,1
2010-08-27,1,0,0,0,0,0,1
2010-09-06,1,0,0,0,0,0,1
2010-09-15,1,0,0,0,0,0,1
2010-09-30,1,0,0,0,0,0,1
2010-10-15,1,0,0,0,0,0,1
2010-10-19,1,0,0,0,0,0,1
2010-10-31,2,0,0,0,0,0,2
2010-11-10,1,0,0,0,0,0,1
2010-11-11,1,0,0,0,0,0,1
2010-11-18,1,0,0,0,0,0,1
2010-11-24,0,1,0,0,0,0,0
2010-11-30,1,0,0,0,0,0,1
2010-12-22,1,0,0,0,0,0,1
2010-12-24,4,0,0,0,0,0,4
2010-12-31,2,0,0,0,0,0,2
2011,32,3,3,0,6,9,32
2011-01-05,2,0,0,0,0,0,2
2011-01-09,1,0,0,0,0,0,1
2011-01-11,0,1,0,0,0,0,0
2011-01-18,1,0,0,0,0,0,1
2011-01-25,2,0,0,0,0,0,2
2011-01-26,1,0,0,0,0,0,1
2011-01-31,4,0,0,0,0,0,4
2011-02-02,1,0,0,0,0,0,1
2011-02-05,1,0,0,0,0,0,1
2011-02-10,1,0,0,0,0,0,1
2011-02-18,1,0,0,0,0,0,1
2011-02-23,1,0,0,0,0,0,1
2011-02-28,1,0,0,0,0,0,1
2011-03-05,1,0,0,0,0,0,1
2011-03-21,1,0,0,0,0,0,1
2011-04-15,1,0,0,0,0,0,1
2011-04-22,1,0,0,0,0,0,1
2011-04-30,3,0,0,0,0,0,3
2011-05-03,0,1,0,0,0,0,0
2011-05-16,1,0,0,0,0,0,1
2011-05-18,1,0,0,0,0,0,1
2011-06-01,1,0,0,0,0,0,1
2011-06-05,1,0,0,0,0,0,1
2011-06-07,0,0,1,0,0,1,0
2011-06-19,1,0,0,0,0,0,1
2011-06-26,1,0,0,0,0,0,1
2011-06-30,0,0,1,0,0,1,0
2011-07-01,1,0,0,0,0,0,1
2011-07-05,1,0,0,0,0,0,1
2011-07-21,1,0,0,0,0,0,1
2011-07-27,0,1,0,0,0,0,0
2011-07-31,1,0,0,0,0,0,1
2011-08-05,0,1,0,0,0,0,0
2011-08-06,2,0,0,0,0,0,2
2011-08-09,0,0,1,0,0,1,0
2011-08-13,1,0,0,0,0,0,1
2011-08-15,1,0,0,0,0,0,1
2011-08-17,0,0,1,0,0,1,0
2011-09-02,1,0,0,0,0,0,1
2011-09-27,1,0,0,0,0,0,1
2011-10-02,1,0,0,0,0,0,1
2011-10-04,0,0,0,0,1,1,0
2011-10-12,1,0,0,0,0,0,1
2011-10-13,1,0,0,0,0,0,1
2011-10-21,0,2,0,0,0,0,0
2011-10-27,1,1,0,0,0,0,1
2011-10-31,1,0,0,0,0,0,1
2011-11-16,1,0,0,0,0,0,1
2011-11-17,1,0,0,0,0,0,1
2011-11-22,0,1,0,0,0,0,0
2011-11-23,1,0,0,0,0,0,1
2011-11-30,2,0,0,0,0,0,2
2011-12-01,1,0,0,0,0,0,1
2011-12-02,1,0,0,0,0,0,1
2011-12-03,1,0,0,0,0,0,1
2011-12-05,2,1,0,0,0,0,2
2011-12-09,1,0,0,0,0,0,1
2011-12-13,1,0,0,0,0,0,1
2011-12-14,1,0,0,0,0,0,1
2011-12-31,4,1,0,0,0,0,4
2012,37,5,3,0,4,7,37
2012-01-04,1,0,0,0,0,0,1
2012-01-06,0,1,0,0,0,0,0
2012-01-13,0,1,0,0,0,0,0
2012-01-22,1,0,0,0,0,0,1
2012-01-25,1,0,0,0,0,0,1
2012-01-31,2,0,0,0,0,0,2
2012-02-07,1,0,0,0,0,0,1
2012-02-09,0,1,0,0,0,0,0
2012-02-15,1,0,0,1,0,0,1
2012-02-16,1,0,0,0,0,0,1
2012-02-21,1,0,0,0,0,0,1
2012-02-24,0,1,0,0,0,0,0
2012-02-28,1,0,0,0,0,0,1
2012-02-29,2,1,0,0,0,0,2
2012-03-01,2,0,0,0,0,0,2
2012-03-02,1,0,0,0,0,0,1
2012-03-12,1,0,0,0,0,0,1
2012-03-16,1,0,0,0,0,0,1
2012-03-28,0,0,0,0,1,1,0
2012-04-02,1,0,0,0,0,0,1
2012-04-03,1,0,0,0,0,0,1
2012-04-11,1,0,0,0,0,0,1
2012-04-20,1,0,0,0,0,0,1
2012-04-24,1,0,0,0,0,0,1
2012-05-01,1,0,0,0,0,0,1
2012-05-04,0,1,0,0,0,0,0
2012-05-05,1,0,0,0,0,0,1
2012-05-07,1,0,0,0,0,0,1
2012-05-15,1,0,0,0,0,0,1
2012-05-16,1,0,0,0,0,0,1
2012-05-31,1,0,0,0,0,0,1
2012-06-04,1,0,0,0,0,0,1
2012-06-05,1,0,0,0,0,0,1
2012-06-15,1,0,0,0,0,0,1
2012-06-20,1,0,0,0,0,0,1
2012-06-22,1,0,0,0,0,0,1
2012-07-02,2,0,0,0,0,0,2
2012-07-06,1,0,0,0,0,0,1
2012-07-19,1,0,0,0,0,0,1
2012-07-24,1,0,0,0,0,0,1
2012-07-29,1,0,0,0,0,0,1
2012-07-31,1,0,0,0,0,0,1
2012-08-01,1,0,0,0,0,0,1
2012-08-16,1,0,0,0,0,0,1
2012-08-23,1,0,0,0,0,0,1
2012-08-28,1,0,0,0,0,0,1
2012-08-31,4,2,0,0,1,1,4
2012-09-05,1,0,0,0,0,0,1
2012-09-06,1,0,0,0,0,0,1
2012-09-07,1,0,0,0,0,0,1
2012-09-12,1,0,0,0,0,0,1
2012-09-19,1,0,0,0,0,0,1
2012-09-20,1,0,0,0,0,0,1
2012-09-25,1,0,0,0,0,0,1
2012-09-26,1,0,0,0,0,0,1
2012-10-01,1,0,0,0,0,0,1
2012-10-04,1,0,0,0,0,0,1
2012-10-10,1,0,0,0,0,0,1
2012-10-11,1,0,0,0,0,0,1
2012-10-13,1,0,0,0,0,0,1
2012-10-17,1,0,0,0,0,0,1
2012-10-23,1,0,0,0,0,0,1
2012-10-24,1,0,0,0,0,0,1
2012-10-27,1,0,0,0,0,0,1
2012-10-30,1,0,0,0,0,0,1
2012-11-01,1,0,0,0,0,0,1
2012-11-07,1,0,0,0,0,0,1
2012-11-08,1,0,0,0,0,0,1
2012-11-19,1,0,0,0,0,0,1
2012-11-27,0,0,1,0,1,2,0
2012-11-28,1,0,0,0,0,0,1
2012-11-30,2,0,0,0,0,0,2
2012-12-05,1,0,0,0,0,0,1
2012-12-07,1,0,0,0,0,0,1
2012-12-12,1,1,0,0,0,0,1
2012-12-23,1,0,0,0,0,0,1
2012-12-26,1,0,0,0,0,0,1
2012-12-27,2,0,0,0,0,0,2
2012-12-31,5,0,0,0,0,0,5
2013,36,7,6,0,2,8,36
2013-01-01,0,1,0,0,0,0,0
2013-01-07,1,0,0,0,0,0,1
2013-01-10,1,0,0,0,0,0,1
2013-01-16,0,1,0,0,0,0,0
2013-01-17,1,0,0,0,0,0,1
2013-01-21,1,0,0,0,0,0,1
2013-01-23,1,0,0,0,0,0,1
2013-01-25,1,0,0,0,0,0,1
2013-01-29,1,0,0,0,0,0,1
2013-01-31,1,0,0,0,0,0,1
2013-02-07,2,0,0,0,0,0,2
2013-02-21,1,0,0,0,0,0,1
2013-02-28,1,0,0,0,0,0,1
2013-03-07,1,0,0,0,0,0,1
2013-03-10,1,0,0,0,0,0,1
2013-03-29,1,0,0,0,0,0,1
2013-04-01,1,0,0,0,0,0,1
2013-04-04,1,0,0,0,0,0,1
2013-04-05,1,0,0,0,0,0,1
2013-04-15,1,0,0,0,0,0,1
2013-04-18,2,0,0,0,0,0,2
2013-04-20,1,0,0,0,0,0,1
2013-04-22,1,0,1,0,0,1,1
2013-04-25,1,0,0,0,0,0,1
2013-04-27,1,0,0,0,0,0,1
2013-05-02,1,0,0,0,0,0,1
2013-05-07,1,0,0,0,0,0,1
2013-05-10,2,0,0,0,0,0,2
2013-05-14,1,0,0,0,0,0,1
2013-05-22,1,0,0,0,0,0,1
2013-05-26,1,0,0,0,0,0,1
2013-05-29,1,0,1,0,0,1,1
2013-05-30,1,0,0,0,0,0,1
2013-06-05,3,0,0,0,0,0,3
2013-06-07,1,0,0,0,0,0,1
2013-06-09,0,1,0,0,0,0,0
2013-06-10,1,0,0,0,0,0,1
2013-06-17,0,1,0,0,0,0,0
2013-06-20,1,0,0,0,0,0,1
2013-06-24,1,0,0,0,0,0,1
2013-06-25,1,0,0,0,0,0,1
2013-06-30,2,0,0,0,0,0,2
2013-07-01,1,0,0,0,0,0,1
2013-07-05,1,0,0,0,0,0,1
2013-07-09,3,0,0,0,0,0,3
2013-07-20,1,0,0,0,0,0,1
2013-07-25,1,0,0,0,0,0,1
2013-07-31,0,1,0,0,0,0,0
2013-08-01,1,1,0,0,0,0,1
2013-08-02,1,0,0,0,0,0,1
2013-08-05,2,0,0,0,0,0,2
2013-08-07,2,0,0,0,0,0,2
2013-08-11,1,0,0,0,0,0,1
2013-08-15,2,0,0,0,0,0,2
2013-08-22,3,1,0,0,0,0,3
2013-08-29,2,0,0,0,0,0,2
2013-08-30,2,0,0,0,0,0,2
2013-08-31,1,0,0,0,0,0,1
2013-09-10,1,0,0,0,0,0,1
2013-09-18,0,1,0,0,0,0,0
2013-09-20,1,0,0,0,0,0,1
2013-09-27,1,1,0,0,0,0,1
2013-10-01,1,0,0,0,0,0,1
2013-10-02,1,0,0,0,0,0,1
2013-10-07,1,0,0,0,0,0,1
2013-10-10,1,0,0,0,0,0,1
2013-10-15,1,0,0,0,0,0,1
2013-10-16,1,0,0,0,0,0,1
2013-10-21,1,0,0,0,0,0,1
2013-10-22,1,0,0,0,0,0,1
2013-10-23,1,0,0,0,0,0,1
2013-10-24,0,1,0,0,0,0,0
2013-10-30,1,0,0,0,0,0,1
2013-10-31,3,1,1,0,0,1,3
2013-11-01,0,0,2,0,0,2,0
2013-11-05,1,0,0,0,0,0,1
2013-11-13,1,0,0,0,0,0,1
2013-11-18,1,0,0,0,0,0,1
2013-11-20,2,0,0,0,0,0,2
2013-11-21,1,0,0,0,0,0,1
2013-11-30,2,0,0,0,0,0,2
2013-12-04,1,0,0,0,0,0,1
2013-12-05,2,1,0,0,0,0,2
2013-12-16,1,0,0,0,0,0,1
2013-12-17,1,0,0,0,0,0,1
2013-12-18,2,0,0,0,0,0,2
2013-12-19,2,0,0,0,0,0,2
2013-12-20,1,0,0,0,0,0,1
2013-12-21,1,0,0,0,0,0,1
2013-12-23,1,0,0,0,0,0,1
2013-12-26,1,0,0,0,0,0,1
2013-12-31,4,0,0,0,0,0,4
2014,41,5,13,2,2,15,42
2014-01-02,2,0,1,0,0,1,2
2014-01-06,1,0,0,0,0,0,1
2014-01-07,2,0,0,0,0,0,2
2014-01-08,1,0,0,0,0,0,1
2014-01-10,1,0,0,0,0,0,1
2014-01-11,1,0,0,0,0,0,1
2014-01-15,1,0,0,0,0,0,1
2014-01-17,2,0,0,0,0,0,2
2014-01-21,1,0,0,0,0,0,1
2014-01-22,1,0,0,0,0,0,1
2014-01-23,0,1,0,0,0,0,0
2014-01-24,1,0,0,0,0,0,1
2014-01-27,1,0,0,0,0,0,1
2014-01-28,1,0,0,0,0,0,1
2014-01-31,3,0,0,0,0,0,3
2014-02-04,1,0,0,0,0,0,1
2014-02-06,1,0,0,0,0,0,1
2014-02-07,1,0,0,0,0,0,1
2014-02-18,0,1,0,0,0,0,0
2014-02-20,1,0,0,0,0,0,1
2014-02-21,1,0,0,0,0,0,1
2014-02-22,1,0,0,0,0,0,1
2014-02-25,1,0,0,0,0,0,1
2014-02-27,1,0,0,0,0,0,1
2014-02-28,1,0,0,0,0,0,1
2014-03-04,1,1,0,0,0,0,1
2014-03-05,1,0,0,0,0,0,1
2014-03-07,1,0,0,0,0,0,1
2014-03-09,1,0,0,0,0,0,1
2014-03-12,1,0,0,0,0,0,1
2014-03-13,1,0,0,0,0,0,1
2014-03-14,2,0,0,0,0,0,2
2014-03-15,1,0,0,0,0,0,1
2014-03-19,1,0,0,0,0,0,1
2014-03-21,1,0,0,0,0,0,1
2014-03-25,1,0,0,0,0,0,1
2014-03-27,0,1,0,0,0,0,0
2014-03-30,1,0,0,0,0,0,1
2014-03-31,1,0,0,0,0,0,1
2014-04-01,1,0,0,0,0,0,1
2014-04-02,1,0,0,0,0,0,1
2014-04-03,1,0,0,0,0,0,1
2014-04-04,1,0,0,0,0,0,1
2014-04-09,1,0,0,0,0,0,1
2014-04-14,1,0,0,0,0,0,1
2014-04-15,2,0,0,0,0,0,2
2014-04-16,1,1,0,0,0,0,1
2014-04-17,1,0,0,0,0,0,1
2014-04-23,1,0,0,0,0,0,1
2014-04-29,1,0,0,0,0,0,1
2014-04-30,1,0,0,0,0,0,1
2014-05-01,0,1,0,0,0,0,0
2014-05-05,1,0,0,0,0,0,1
2014-05-06,1,0,0,0,0,0,1
2014-05-07,1,0,0,0,0,0,1
2014-05-13,3,0,0,0,0,0,3
2014-05-14,1,0,0,0,0,0,1
2014-05-16,1,0,0,0,0,0,1
2014-05-28,2,0,0,0,0,0,2
2014-05-31,1,0,0,0,0,0,1
2014-06-05,1,0,1,0,0,1,1
2014-06-10,1,0,0,0,0,0,1
2014-06-11,2,0,0,0,0,0,2
2014-06-12,1,1,0,0,0,0,1
2014-06-17,1,0,0,0,0,0,1
2014-06-19,1,0,0,0,0,0,1
2014-06-22,1,0,0,0,0,0,1
2014-06-24,0,1,0,0,0,0,0
2014-06-26,1,0,0,0,0,0,1
2014-06-27,1,0,0,0,0,0,1
2014-06-30,1,0,0,0,0,0,1
2014-07-08,1,0,0,0,0,0,1
2014-07-29,1,0,0,0,0,0,1
2014-07-31,2,0,0,0,0,0,2
2014-08-05,2,0,0,0,0,0,2
2014-08-07,1,0,0,0,0,0,1
2014-08-12,2,0,0,0,0,0,2
2014-08-22,0,1,0,0,0,0,0
2014-08-28,1,0,0,0,0,0,1
2014-08-29,1,0,0,0,0,0,1
2014-08-31,1,0,0,1,0,0,2
2014-09-01,1,0,0,0,0,0,1
2014-09-02,1,0,0,0,0,0,1
2014-09-04,1,0,0,0,0,0,1
2014-09-05,1,0,0,0,0,0,1
2014-09-07,1,0,0,0,0,0,1
2014-09-10,1,0,0,0,0,0,1
2014-09-25,1,0,0,0,0,0,1
2014-09-26,1,0,0,0,0,0,1
2014-09-29,1,0,0,0,0,0,1
2014-09-30,1,0,0,0,0,0,1
2014-10-05,1,0,0,0,0,0,1
2014-10-07,1,0,0,0,0,0,1
2014-10-08,1,0,0,0,0,0,1
2014-10-10,1,0,0,1,0,0,1
2014-10-16,1,0,0,0,0,0,1
2014-10-20,1,0,0,0,0,0,1
2014-10-27,1,0,0,0,0,0,1
2014-10-30,1,0,0,0,0,0,1
2014-11-01,1,0,0,0,0,0,1
2014-11-06,0,0,0,0,1,1,0
2014-11-07,2,0,0,0,0,0,2
2014-11-13,1,0,0,0,0,0,1
2014-11-17,1,0,0,0,0,0,1
2014-11-28,0,1,0,0,0,0,0
2014-11-30,1,0,0,0,0,0,1
2014-12-03,1,0,0,0,0,0,1
2014-12-04,1,0,0,0,0,0,1
2014-12-05,3,0,0,0,0,0,3
2014-12-08,1,0,0,0,0,0,1
2014-12-10,1,0,0,0,0,0,1
2014-12-11,1,0,0,0,0,0,1
2014-12-12,2,3,0,0,0,0,2
2014-12-13,1,1,0,0,0,0,1
2014-12-18,1,0,0,0,0,0,1
